Time,Open,High,Low,Close,Volume,Amount
2025-03-20 08:46:00,22092.0,22118.0,22092.0,22110.0,100,2210692.0
2025-03-20 08:47:00,22112.0,22112.0,22103.0,22104.0,24,530513.0
2025-03-20 08:48:00,22104.0,22104.0,22104.0,22104.0,5,110520.0
2025-03-20 08:49:00,22098.0,22099.0,22079.0,22080.0,57,1258588.0
2025-03-20 08:50:00,22080.0,22080.0,22074.0,22074.0,19,419436.0
2025-03-20 08:51:00,22074.0,22075.0,22074.0,22075.0,41,905074.0
2025-03-20 08:53:00,22074.0,22074.0,22074.0,22074.0,20,441480.0
2025-03-20 09:00:00,22100.0,22100.0,22100.0,22100.0,1,22100.0
2025-03-20 09:01:00,22081.0,22081.0,22081.0,22081.0,1,22081.0
2025-03-20 09:10:00,22150.0,22150.0,22150.0,22150.0,1,22150.0
2025-03-20 09:11:00,22174.0,22174.0,22174.0,22174.0,2,44348.0
2025-03-20 09:12:00,22170.0,22170.0,22170.0,22170.0,1,22170.0
2025-03-20 09:13:00,22190.0,22190.0,22190.0,22190.0,1,22190.0
2025-03-20 09:14:00,22195.0,22195.0,22195.0,22195.0,1,22195.0
2025-03-20 09:25:00,22150.0,22150.0,22150.0,22150.0,1,22150.0
2025-03-20 09:27:00,22141.0,22141.0,22141.0,22141.0,1,22141.0
2025-03-20 09:29:00,22145.0,22150.0,22145.0,22150.0,3,66445.0
2025-03-20 09:30:00,22150.0,22150.0,22150.0,22150.0,1,22150.0
2025-03-20 09:32:00,22147.0,22147.0,22146.0,22146.0,2,44293.0
2025-03-20 09:34:00,22153.0,22153.0,22153.0,22153.0,2,44306.0
2025-03-20 09:51:00,22124.0,22124.0,22124.0,22124.0,1,22124.0
2025-03-20 09:56:00,22126.0,22126.0,22126.0,22126.0,1,22126.0
2025-03-20 09:59:00,22126.0,22126.0,22126.0,22126.0,8,177008.0