Time,equity,Action,Price,peak,drawdown
2025-04-01 18:30:00,0.0,SELL_SHORT,20910.0,0.0,0.0
2025-04-12 00:00:00,1885.6,BUY_LONG,19019.0,1885.6,0.0
2025-04-21 12:00:00,1555.1999999999998,SELL_SHORT,18694.0,1885.6,-330.4000000000001
2025-04-23 12:00:00,1138.7999999999997,STOP_LOSS_SHORT,19105.0,1885.6,-746.8000000000002
2025-04-23 12:30:00,1138.7999999999997,BUY_LONG,19124.0,1885.6,-746.8000000000002
2025-05-22 09:00:00,2860.3999999999996,SELL_SHORT,20851.0,2860.3999999999996,0.0
2025-06-04 10:30:00,2910.9999999999995,BUY_LONG,20795.0,2910.9999999999995,0.0
2025-06-16 12:00:00,3309.5999999999995,SELL_SHORT,21199.0,3309.5999999999995,0.0
2025-06-16 22:00:00,3122.1999999999994,BUY_LONG,21381.0,3309.5999999999995,-187.4000000000001
2025-06-17 18:30:00,3003.7999999999993,SELL_SHORT,21268.0,3309.5999999999995,-305.8000000000002
2025-06-17 23:30:00,2946.399999999999,BUY_LONG,21320.0,3309.5999999999995,-363.2000000000003
2025-06-18 01:30:00,2866.999999999999,SELL_SHORT,21246.0,3309.5999999999995,-442.60000000000036
2025-06-18 10:30:00,2670.599999999999,BUY_LONG,21437.0,3309.5999999999995,-639.0000000000005
2025-06-19 09:00:00,2539.199999999999,SELL_SHORT,21311.0,3309.5999999999995,-770.4000000000005
2025-06-24 10:30:00,2434.799999999999,BUY_LONG,21410.0,3309.5999999999995,-874.8000000000006
2025-07-08 02:30:00,2729.3999999999987,SELL_SHORT,21710.0,3309.5999999999995,-580.2000000000007
2025-07-09 17:30:00,2528.9999999999986,BUY_LONG,21905.0,3309.5999999999995,-780.6000000000008
2025-08-01 19:30:00,3548.5999999999985,SELL_SHORT,22930.0,3548.5999999999985,0.0